순,이름,연도,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR2,WPA
211,이채호,23K, -0.11 , 25 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 24.2 , 19 , 19 , 110 , 26 , 6 , 0 , 6 , 9 , 0 , 3 , 8 , 0 , 1 , 6.93 , 7.42 , 1.42 , 60.9 , 55.8 , -0.11 , -0.57 
212,장민재,23한, -0.11 , 25 , 0 , 0 , 13 , 3 , 8 , 0 , 1 , 69.0 , 46 , 37 , 308 , 79 , 13 , 2 , 12 , 22 , 2 , 5 , 61 , 0 , 5 , 4.83 , 5.02 , 1.46 , 86.0 , 82.7 , -0.11 , -0.54 
213,나원탁,23롯, -0.11 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.2 , 3 , 3 , 6 , 3 , 0 , 0 , 1 , 1 , 0 , 0 , 1 , 0 , 0 , 40.50 , 24.44 , 6.00 , 10.3 , 16.1 , -0.11 , -0.00 
214,박세웅,23삼, -0.12 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.2 , 2 , 2 , 6 , 1 , 0 , 0 , 1 , 3 , 0 , 0 , 1 , 0 , 0 , 27.00 , 33.44 , 6.00 , 15.7 , 12.8 , -0.12 , -0.30 
215,김주온,23S, -0.12 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.1 , 3 , 3 , 5 , 2 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 1 , 81.00 , 15.44 , 9.00 , 5.2 , 27.4 , -0.12 , -0.00 
216,김시현,23삼, -0.12 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.0 , 5 , 4 , 17 , 6 , 1 , 0 , 2 , 2 , 0 , 0 , 2 , 0 , 0 , 12.00 , 12.78 , 2.67 , 35.3 , 33.6 , -0.12 , -0.01 
217,이준호,23N, -0.13 , 17 , 0 , 0 , 2 , 3 , 2 , 0 , 0 , 31.2 , 22 , 17 , 144 , 32 , 4 , 1 , 3 , 15 , 0 , 4 , 19 , 0 , 2 , 4.83 , 5.27 , 1.48 , 86.2 , 79.7 , -0.13 , 0.03 
218,장지수,23한, -0.14 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.0 , 5 , 4 , 11 , 4 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 1 , 18.00 , 6.44 , 3.00 , 23.1 , 64.5 , -0.14 , -0.01 
219,이승진,23두, -0.15 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.2 , 4 , 0 , 6 , 1 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 0.00 , 9.44 , 3.00 ,  , 43.8 , -0.15 , -0.00 
220,김유성,23두, -0.15 , 7 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6.1 , 7 , 7 , 38 , 6 , 0 , 0 , 2 , 12 , 0 , 0 , 6 , 0 , 3 , 9.95 , 11.34 , 2.84 , 40.9 , 35.1 , -0.15 , -0.24 
221,최이준,23롯, -0.15 , 28 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 29.0 , 22 , 22 , 143 , 37 , 11 , 3 , 1 , 21 , 1 , 0 , 20 , 0 , 4 , 6.83 , 4.58 , 2.00 , 60.9 , 90.2 , -0.15 , 0.23 
222,장원준,23두, -0.16 , 11 , 0 , 0 , 10 , 3 , 5 , 0 , 0 , 41.0 , 27 , 24 , 183 , 53 , 8 , 2 , 4 , 11 , 0 , 2 , 24 , 0 , 2 , 5.27 , 4.49 , 1.56 , 77.3 , 89.4 , -0.16 , -0.64 
223,조이현,23K, -0.17 , 18 , 0 , 0 , 4 , 2 , 1 , 0 , 1 , 35.0 , 27 , 26 , 170 , 61 , 14 , 1 , 3 , 6 , 0 , 2 , 17 , 1 , 1 , 6.69 , 4.27 , 1.91 , 63.2 , 97.3 , -0.17 , -0.38 
224,윤명준,23롯, -0.17 , 21 , 0 , 0 , 0 , 0 , 1 , 0 , 5 , 19.1 , 14 , 14 , 98 , 31 , 3 , 1 , 4 , 10 , 2 , 4 , 11 , 0 , 5 , 6.52 , 6.86 , 2.12 , 63.8 , 58.9 , -0.17 , -1.07 
225,김기훈,23K, -0.18 , 29 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 31.1 , 22 , 16 , 156 , 28 , 6 , 1 , 0 , 37 , 1 , 2 , 26 , 1 , 5 , 4.60 , 5.42 , 2.07 , 89.9 , 76.7 , -0.18 , -0.99 
226,배민서,23N, -0.18 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6.2 , 8 , 5 , 34 , 10 , 5 , 2 , 0 , 2 , 0 , 1 , 4 , 0 , 1 , 6.75 , 3.59 , 1.80 , 61.7 , 115.9 , -0.18 , -0.13 
227,김건희,23키, -0.18 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.0 , 5 , 5 , 14 , 6 , 0 , 0 , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 22.50 , 19.44 , 4.00 , 18.3 , 20.4 , -0.18 , 0.00 
228,이충호,23한, -0.18 , 11 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8.2 , 9 , 9 , 41 , 12 , 0 , 0 , 2 , 5 , 0 , 1 , 7 , 0 , 0 , 9.35 , 6.90 , 1.96 , 44.4 , 60.2 , -0.18 , -0.24 
229,곽도규,23K, -0.19 , 14 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 11.2 , 11 , 11 , 61 , 14 , 2 , 0 , 0 , 10 , 0 , 2 , 14 , 0 , 1 , 8.49 , 4.13 , 2.06 , 48.7 , 100.7 , -0.19 , -0.07 
230,김대현,23L, -0.19 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.1 , 5 , 4 , 22 , 8 , 2 , 0 , 1 , 2 , 0 , 1 , 3 , 0 , 1 , 10.80 , 8.24 , 3.00 , 37.8 , 48.5 , -0.19 , -0.40 
231,이영하,23두, -0.20 , 36 , 0 , 0 , 0 , 5 , 3 , 0 , 4 , 39.1 , 27 , 24 , 184 , 40 , 9 , 1 , 2 , 21 , 1 , 4 , 28 , 0 , 2 , 5.49 , 4.51 , 1.55 , 74.2 , 90.5 , -0.20 , -1.15 
232,노건우,23삼, -0.20 , 16 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 12.1 , 11 , 10 , 65 , 22 , 3 , 0 , 3 , 5 , 0 , 1 , 12 , 0 , 1 , 7.30 , 6.12 , 2.19 , 58.0 , 69.4 , -0.20 , -0.53 
