순,이름,연도,WAR,-,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,--
144,박정권,14S1B, 17.86 , 1308 , 4700 , 4150 , 611 , 1134 , 209 , 17 , 178 , 1911 , 679 , 56 , 36 , 450 , 35 , 30 , 942 , 70 , 32 , 33 , .273 , .347 , .460 , .807 , .359 , 110.3 , 17.86 ,
145,채태인,14삼1B, 17.86 , 1241 , 4400 , 3905 , 481 , 1162 , 213 , 9 , 127 , 1774 , 678 , 8 , 9 , 416 , 37 , 24 , 974 , 87 , 5 , 37 , .298 , .368 , .454 , .822 , .370 , 117.4 , 17.86 ,
146,조동찬,16삼3B, 17.71 , 1171 , 3867 , 3360 , 470 , 867 , 156 , 6 , 92 , 1311 , 426 , 150 , 29 , 311 , 75 , 4 , 784 , 75 , 89 , 31 , .258 , .332 , .390 , .722 , .326 , 88.9 , 17.71 ,
147,한영준,12롯3B, 17.64 , 1009 , 3421 , 2838 , 385 , 717 , 126 , 17 , 48 , 1021 , 314 , 91 , 62 , 400 , 64 , 12 , 344 , 65 , 94 , 25 , .253 , .355 , .360 , .715 , .332 , 105.0 , 17.64 ,
148,신경식,14O1B, 17.23 , 1364 , 5180 , 4650 , 559 , 1282 , 208 , 38 , 56 , 1734 , 560 , 156 , 75 , 384 , 54 , 39 , 346 , 72 , 48 , 43 , .276 , .335 , .373 , .708 , .328 , 102.5 , 17.23 ,
149,최진행,15한LF, 17.20 , 1104 , 3872 , 3356 , 428 , 886 , 169 , 1 , 152 , 1513 , 551 , 17 , 20 , 416 , 64 , 18 , 952 , 99 , 12 , 24 , .264 , .354 , .451 , .805 , .363 , 110.7 , 17.20 ,
150,윤동균,8OLF, 16.57 , 594 , 2278 , 1963 , 263 , 560 , 98 , 21 , 38 , 814 , 277 , 41 , 21 , 287 , 7 , 26 , 194 , 39 , 1 , 20 , .285 , .375 , .415 , .790 , .366 , 130.3 , 16.57 ,
151,이동수,10삼3B, 16.54 , 674 , 2130 , 1813 , 257 , 487 , 82 , 9 , 89 , 854 , 328 , 8 , 5 , 224 , 67 , 11 , 522 , 51 , 10 , 16 , .269 , .367 , .471 , .838 , .373 , 128.9 , 16.54 ,
152,이병규,15LLF, 16.48 , 835 , 2702 , 2232 , 344 , 621 , 117 , 11 , 75 , 985 , 366 , 30 , 24 , 398 , 40 , 7 , 615 , 40 , 13 , 19 , .278 , .394 , .441 , .835 , .381 , 128.6 , 16.48 ,
153,정훈,14+롯2B, 16.46 , 1287 , 4337 , 3732 , 588 , 1023 , 182 , 21 , 69 , 1454 , 472 , 75 , 30 , 432 , 73 , 13 , 798 , 83 , 66 , 34 , .274 , .358 , .390 , .747 , .342 , 99.1 , 16.46 ,
