이름,WAR,game,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷출루,피사구,피고의사구,피삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,WPA,Position,Player,Salary
김현준,1.96,118,422,363,57,100,19,4,0,127,22,5,3,45,6,0,80,1,8,0, .275 , .365 , .350 , .715 , .334 , 105.5 ,1.96,0.64,Batter,김현준,3300.0
고승민,1.95,92,262,234,31,74,15,1,5,106,30,1,4,25,0,0,47,6,2,1, .316 , .381 , .453 , .834 , .381 , 134.4 ,1.95,1.34,Batter,고승민,3800.0
구자욱,1.91,99,442,409,69,119,23,3,5,163,37,11,1,27,3,2,84,7,1,2, .291 , .338 , .399 , .736 , .338 , 107.1 ,1.91,-0.31,Batter,구자욱,250000.0
이창진,1.84,111,404,346,56,104,14,0,7,139,48,3,5,41,2,0,63,7,11,4, .301 , .374 , .402 , .776 , .352 , 117.2 ,1.84,-0.65,Batter,이창진,7000.0
강한울,1.83,93,252,226,31,73,12,1,1,90,26,4,2,20,0,0,48,2,4,2, .323 , .375 , .398 , .773 , .355 , 119.4 ,1.83,-0.53,Batter,강한울,10000.0
김준태,1.82,98,270,231,28,63,16,1,4,93,27,2,0,33,0,1,77,4,3,3, .273 , .360 , .403 , .762 , .348 , 113.0 ,1.82,0.54,Batter,김준태,6500.0
김주원,1.81,96,326,273,35,62,10,2,10,106,47,10,3,30,14,1,89,4,9,0, .227 , .334 , .388 , .723 , .327 , 100.7 ,1.81,-0.41,Batter,김주원,6000.0
최재훈,1.78,114,437,364,38,81,14,0,5,110,30,1,1,44,21,0,65,17,5,2, .223 , .339 , .302 , .641 , .308 , 87.4 ,1.78,-1.31,Batter,최재훈,100000.0
김휘집,1.58,112,393,333,40,74,12,1,8,112,36,0,0,39,14,0,115,6,3,4, .222 , .326 , .336 , .662 , .312 , 93.6 ,1.58,-1.22,Batter,김휘집,3900.0
양석환,1.57,107,446,406,58,99,14,1,20,175,51,1,0,32,7,3,101,3,0,1, .244 , .309 , .431 , .741 , .334 , 113.0 ,1.57,0.05,Batter,양석환,39000.0
하주석,1.38,125,483,444,50,115,18,2,5,152,58,20,6,31,3,1,126,4,2,3, .259 , .310 , .342 , .652 , .303 , 84.5 ,1.38,-0.21,Batter,하주석,20090.0
김재성,1.37,63,185,161,16,54,10,0,3,73,26,0,0,18,2,0,40,4,1,3, .335 , .402 , .453 , .856 , .392 , 143.6 ,1.37,0.44,Batter,김재성,4500.0
김강민,1.33,84,202,178,24,54,11,0,5,80,18,1,3,18,3,2,39,1,2,1, .303 , .375 , .449 , .824 , .372 , 129.5 ,1.33,1.07,Batter,김강민,16000.0
박세혁,1.29,128,402,351,33,87,13,1,3,111,41,2,2,33,6,1,71,4,8,4, .248 , .320 , .316 , .636 , .295 , 80.4 ,1.29,-1.26,Batter,박세혁,30000.0
이지영,1.26,137,450,420,38,112,13,4,2,139,37,1,1,20,2,2,44,16,8,0, .267 , .303 , .331 , .634 , .290 , 75.6 ,1.26,-1.85,Batter,이지영,30000.0
황성빈,1.23,102,353,320,62,94,12,4,1,117,16,10,12,22,2,0,55,2,7,2, .294 , .341 , .366 , .707 , .324 , 95.3 ,1.23,-0.39,Batter,황성빈,3000.0
김태군,1.22,102,235,205,20,61,11,0,2,78,25,0,0,17,4,0,34,15,6,3, .298 , .358 , .380 , .739 , .337 , 106.3 ,1.22,-0.17,Batter,김태군,20000.0
이재원,1.19,85,253,223,31,50,8,2,13,101,43,3,1,18,12,2,77,3,0,0, .224 , .316 , .453 , .769 , .346 , 122.0 ,1.19,0.61,Batter,이재원,5200.0
이재원,1.19,85,253,223,31,50,8,2,13,101,43,3,1,18,12,2,77,3,0,0, .224 , .316 , .453 , .769 , .346 , 122.0 ,1.19,0.61,Batter,이재원,100000.0
김인태,1.17,83,279,235,25,58,6,0,5,79,25,1,0,41,3,1,47,6,0,0, .247 , .366 , .336 , .702 , .337 , 109.9 ,1.17,0.08,Batter,김인태,14000.0
안권수,1.15,76,267,239,43,71,7,2,0,82,20,3,4,26,1,0,40,6,1,0, .297 , .368 , .343 , .712 , .339 , 108.3 ,1.15,-0.47,Batter,안권수,4800.0
정수빈,1.13,127,455,405,58,105,12,4,3,134,41,15,8,39,1,1,56,2,6,4, .259 , .323 , .331 , .654 , .303 , 85.3 ,1.13,0.81,Batter,정수빈,60000.0
