이름,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,피2타,피3타,피홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA,Position,Player,Salary
이민우,0.26,17,0,0,0,2,1,0,2,13.2,6,4,57,8,0,0,2,6,0,0,11,0,1, 2.63 , 5.05 , 1.02 , 157.6 , 82.1 ,0.07,Pitcher,이민우,4800.0
문승원,0.25,50,0,0,12,5,8,1,8,105.0,66,61,479,138,27,1,12,35,1,6,65,0,3, 5.23 , 4.83 , 1.65 , 80.0 , 87.9 ,-1.88,Pitcher,문승원,160000.0
정우람,0.24,52,0,0,0,0,1,0,8,40.1,24,24,183,45,8,2,3,17,0,2,30,0,3, 5.36 , 4.34 , 1.54 , 77.5 , 95.7 ,0.24,Pitcher,정우람,80000.0
석상호,0.24,5,0,0,0,0,0,0,0,5.1,0,0,22,4,1,0,0,2,0,0,6,0,1, 0.00 , 2.32 , 1.13 ,  , 180.7 ,-0.01,Pitcher,석상호,3000.0
강건,0.24,4,0,0,0,0,0,1,0,6.2,1,1,28,4,2,0,0,3,0,0,8,0,1, 1.35 , 2.39 , 1.05 , 312.8 , 176.9 ,-0.1,Pitcher,강건,3000.0
이용준,0.24,24,0,0,12,3,4,0,0,67.0,39,32,304,60,11,0,5,44,0,2,50,0,1, 4.30 , 4.98 , 1.55 , 96.9 , 84.5 ,-0.99,Pitcher,이용준,3000.0
김강률,0.23,32,0,0,0,1,0,1,7,25.2,14,12,115,23,3,0,2,12,0,2,21,0,2, 4.21 , 4.46 , 1.36 , 96.8 , 90.7 ,0.15,Pitcher,김강률,22500.0
박정수,0.23,25,0,0,0,1,0,1,0,36.2,22,17,165,37,12,0,1,18,1,6,28,0,2, 4.17 , 4.15 , 1.50 , 97.6 , 99.0 ,0.13,Pitcher,박정수,5000.0
이상규,0.23,8,0,0,0,0,0,0,0,7.2,2,2,34,7,0,0,0,5,0,0,6,0,1, 2.35 , 3.83 , 1.57 , 173.8 , 108.2 ,0.17,Pitcher,이상규,3700.0
문용익,0.23,14,0,0,0,1,0,0,0,13.0,6,6,59,8,1,0,0,12,0,2,12,0,5, 4.15 , 4.83 , 1.54 , 102.0 , 85.3 ,-0.13,Pitcher,문용익,4500.0
